strategy,trades,ending_bankroll,total_return,avg_trade_return_on_cost,median_trade_return_on_cost,win_rate,profit_factor,max_drawdown,max_consecutive_losses,avg_entry_minute,avg_fraction,worst_48_window_return,median_48_window_return,pct_positive_48_windows,pct_nonnegative_48_windows,num_48_windows,score_end,score_dd,score_12h,score_12h_pos,score_pf,score_win,robustness_12h_score,meets_dd_lt_30,meets_12h_positive_all
session_breakout_asia_fixed_12pct,11,138.83102693480043,0.3883102693480043,0.2538760199045721,0.1785714285714286,1.0,,0.0,0,4.0,0.12000000000000002,0.0,0.0,0.28233830845771146,1.0,804,0.88,0.85,0.85,0.53,0.17,0.89,0.7265,True,False
session_milddrop_us_afternoon_fixed_12pct,6,146.3588091666877,0.4635880916668771,0.5475586636034033,0.5971896955503513,1.0,,0.0,0,2.0,0.12,0.0,0.0,0.19527363184079602,1.0,804,0.92,0.85,0.85,0.45,0.17,0.89,0.7165,True,False
session_breakout_asia_fixed_10pct,11,131.56798327802147,0.31567983278021483,0.2538760199045721,0.1785714285714286,1.0,,0.0,0,4.0,0.1,0.0,0.0,0.28233830845771146,1.0,804,0.78,0.85,0.85,0.53,0.17,0.89,0.7115,True,False
session_milddrop_us_afternoon_fixed_10pct,6,137.60131602570848,0.37601316025708487,0.5475586636034033,0.5971896955503513,1.0,,0.0,0,2.0,0.09999999999999999,0.0,0.0,0.19527363184079602,1.0,804,0.86,0.85,0.85,0.45,0.17,0.89,0.7075,True,False
session_milddrop_london_fixed_6pct,26,146.62926631605438,0.46629266316054374,0.257373352394156,0.41428571428571437,0.8461538461538461,2.8159455333073518,0.08249752628785859,1,2.0,0.060000000000000005,-0.06095238095238098,0.0,0.32338308457711445,0.900497512437811,804,0.94,0.58,0.62,0.61,0.94,0.65,0.6930000000000001,True,False
session_breakout_asia_fixed_8pct,11,124.63878720302714,0.24638787203027146,0.253876019904572,0.17857142857142863,1.0,,0.0,0,4.0,0.07999999999999999,0.0,0.0,0.28233830845771146,1.0,804,0.6,0.85,0.85,0.53,0.17,0.89,0.6845,True,False
gate_breakout_fixed_6pct,22,120.12503188781521,0.20125031887815203,0.14497522187512957,0.1579343365253078,0.9090909090909091,2.389992711971808,0.08115958176589783,1,4.0,0.06000000000000001,-0.06082191780821922,0.0,0.48756218905472637,0.9054726368159204,804,0.5,0.62,0.66,0.76,0.92,0.73,0.6809999999999999,True,False
session_milddrop_us_afternoon_fixed_8pct,6,129.2786159030361,0.29278615903036087,0.5475586636034033,0.5971896955503513,1.0,,0.0,0,2.0,0.08,0.0,0.0,0.19527363184079602,1.0,804,0.66,0.85,0.85,0.45,0.17,0.89,0.6775,True,False
session_milddrop_london_fixed_8pct,26,164.2332365583339,0.6423323655833391,0.25737335239415604,0.41428571428571437,0.8461538461538461,2.845446464075517,0.11022000270168857,1,2.0,0.08,-0.08126984126984127,0.0,0.32338308457711445,0.900497512437811,804,0.96,0.5,0.54,0.61,1.0,0.65,0.6659999999999999,True,False
session_breakout_asia_fixed_6pct,11,118.0300730601733,0.18030073060173302,0.2538760199045721,0.1785714285714286,1.0,,0.0,0,4.0,0.06000000000000001,0.0,0.0,0.28233830845771146,1.0,804,0.42,0.85,0.85,0.53,0.17,0.89,0.6575,True,False
session_milddrop_us_afternoon_fixed_6pct,6,121.37354654397227,0.21373546543972277,0.5475586636034033,0.5971896955503513,1.0,,0.0,0,2.0,0.06,0.0,0.0,0.19527363184079602,1.0,804,0.52,0.85,0.85,0.45,0.17,0.89,0.6565,True,False
gate_breakout_fixed_8pct,22,127.23827488140277,0.2723827488140278,0.14497522187512954,0.1579343365253078,0.9090909090909091,2.3330008433426257,0.10847265946937468,1,4.0,0.08000000000000002,-0.08109589041095888,0.0,0.4626865671641791,0.8805970149253731,804,0.62,0.52,0.58,0.68,0.9,0.73,0.6409999999999999,True,False
gate_breakout_fixed_10pct,22,134.52690011478902,0.34526900114789005,0.14497522187512954,0.1579343365253078,0.9090909090909091,2.2780842494085083,0.1358784157619367,1,4.0,0.10000000000000003,-0.10136986301369866,0.0,0.4626865671641791,0.8805970149253731,804,0.84,0.44,0.5,0.68,0.88,0.73,0.636,True,False
session_milddrop_london_fixed_10pct,26,180.7093309655219,0.8070933096552191,0.25737335239415604,0.41428571428571437,0.8461538461538461,2.8262885048227337,0.1380151902975073,1,2.0,0.10000000000000002,-0.10158730158730156,0.0,0.32338308457711445,0.900497512437811,804,0.98,0.42,0.46,0.61,0.98,0.65,0.631,True,False
gate_breakout_fixed_12pct,22,141.97029806300773,0.4197029806300774,0.14497522187512957,0.1579343365253078,0.9090909090909091,2.2250886394701976,0.16335377404418291,1,4.0,0.12000000000000002,-0.12164383561643832,0.0,0.4626865671641791,0.8805970149253731,804,0.9,0.4,0.36,0.68,0.86,0.73,0.6,True,False
session_breakout_us_open_fixed_12pct,2,103.82627633378932,0.038262763337893135,0.1579343365253078,0.1579343365253078,1.0,,0.0,0,4.0,0.12,0.0,0.0,0.11940298507462686,1.0,804,0.34,0.85,0.85,0.29,0.17,0.89,0.5974999999999999,True,False
session_breakout_us_open_fixed_10pct,2,103.18358413132694,0.03183584131326933,0.1579343365253078,0.1579343365253078,1.0,,0.0,0,4.0,0.1,0.0,0.0,0.11940298507462686,1.0,804,0.3,0.85,0.85,0.29,0.17,0.89,0.5914999999999999,True,False
session_breakout_us_open_fixed_8pct,2,102.54288372093023,0.025428837209302335,0.1579343365253078,0.1579343365253078,1.0,,0.0,0,4.0,0.08,0.0,0.0,0.11940298507462686,1.0,804,0.28,0.85,0.85,0.29,0.17,0.89,0.5885,True,False
session_breakout_us_open_fixed_6pct,2,101.90417510259917,0.019041751025991704,0.1579343365253078,0.1579343365253078,1.0,,0.0,0,4.0,0.06,0.0,0.0,0.11940298507462686,1.0,804,0.26,0.85,0.85,0.29,0.17,0.89,0.5855,True,False
session_milddrop_london_fixed_12pct,26,198.1609702707287,0.9816097027072872,0.257373352394156,0.41428571428571437,0.8461538461538461,2.8239831976804473,0.1658590928115786,1,2.0,0.12000000000000001,-0.12190476190476196,0.0,0.32338308457711445,0.900497512437811,804,1.0,0.34,0.32,0.61,0.96,0.65,0.581,True,False
combo_guarded_fixed_6pct,32,118.58001491010009,0.18580014910100084,0.10045201948194817,0.3380821917808219,0.78125,1.4139315028411026,0.16393422342787373,2,2.125,0.06,-0.11837875457875457,0.005058469469092053,0.5087064676616916,0.7997512437810945,804,0.45,0.37,0.4,0.85,0.83,0.43,0.5375000000000001,True,False
combo_session_mix_fixed_6pct,32,118.58001491010009,0.18580014910100084,0.10045201948194817,0.3380821917808219,0.78125,1.4139315028411026,0.16393422342787373,2,2.125,0.06,-0.11837875457875457,0.005058469469092053,0.5087064676616916,0.7997512437810945,804,0.45,0.37,0.4,0.85,0.83,0.43,0.5375000000000001,True,False
combo_guarded_fixed_8pct,32,124.23536033176487,0.24235360331764877,0.10045201948194817,0.3380821917808219,0.78125,1.399592400904911,0.214543720861035,2,2.125,0.08,-0.15618168498168505,0.005305002458128483,0.5087064676616916,0.7997512437810945,804,0.55,0.29,0.28,0.85,0.79,0.43,0.5025000000000001,True,False
combo_session_mix_fixed_8pct,32,124.23536033176487,0.24235360331764877,0.10045201948194817,0.3380821917808219,0.78125,1.399592400904911,0.214543720861035,2,2.125,0.08,-0.15618168498168505,0.005305002458128483,0.5087064676616916,0.7997512437810945,804,0.55,0.29,0.28,0.85,0.79,0.43,0.5025000000000001,True,False
combo_guarded_fixed_10pct,32,129.47523743925044,0.29475237439250446,0.10045201948194815,0.33808219178082194,0.78125,1.3844227207439233,0.2631821861052112,2,2.125,0.1,-0.19315628815628816,0.0048053305585920025,0.5087064676616916,0.7997512437810945,804,0.69,0.21,0.22,0.85,0.75,0.43,0.4885,True,False
combo_session_mix_fixed_10pct,32,129.47523743925044,0.29475237439250446,0.10045201948194815,0.33808219178082194,0.78125,1.3844227207439233,0.2631821861052112,2,2.125,0.1,-0.19315628815628816,0.0048053305585920025,0.5087064676616916,0.7997512437810945,804,0.69,0.21,0.22,0.85,0.75,0.43,0.4885,True,False
session_breakout_london_fixed_6pct,5,99.12912965462749,-0.008708703453725097,-0.021206125642745356,0.125,0.8,0.8597110596942596,0.060666666666666653,1,4.0,0.06,-0.05362166666666657,0.0,0.1044776119402985,0.9402985074626866,804,0.08,0.68,0.68,0.21,0.4,0.57,0.457,True,False
combo_guarded_fixed_12pct,32,134.20988032531045,0.3420988032531045,0.10045201948194815,0.33808219178082194,0.78125,1.3683992731185821,0.30987857085053505,2,2.125,0.12,-0.22930256410256422,0.0035436178875369873,0.5087064676616916,0.7997512437810945,804,0.81,0.11,0.09,0.85,0.71,0.43,0.44999999999999996,False,False
combo_session_mix_fixed_12pct,32,134.20988032531045,0.3420988032531045,0.10045201948194815,0.33808219178082194,0.78125,1.3683992731185821,0.30987857085053505,2,2.125,0.12,-0.22930256410256422,0.0035436178875369873,0.5087064676616916,0.7997512437810945,804,0.81,0.11,0.09,0.85,0.71,0.43,0.44999999999999996,False,False
combo_guarded_adaptive,32,130.04782740770085,0.30047827407700844,0.10045201948194818,0.3380821917808219,0.78125,1.3659564136029823,0.27827682788327424,2,2.125,0.1068599407474572,-0.20293746716513095,0.0,0.48507462686567165,0.7761194029850746,804,0.73,0.17,0.17,0.73,0.67,0.43,0.442,True,False
combo_session_mix_adaptive,32,130.04782740770085,0.30047827407700844,0.10045201948194818,0.3380821917808219,0.78125,1.3659564136029823,0.27827682788327424,2,2.125,0.1068599407474572,-0.20293746716513095,0.0,0.48507462686567165,0.7761194029850746,804,0.73,0.17,0.17,0.73,0.67,0.43,0.442,True,False
gate_milddrop_fixed_6pct,49,119.5848824283829,0.195848824283829,0.0747643257026615,0.37500000000000006,0.7346938775510204,1.2629330628983002,0.2627238906168158,3,2.0,0.06,-0.21081238981787254,0.022899684120198716,0.6305970149253731,0.7114427860696517,804,0.48,0.24,0.14,0.97,0.64,0.29,0.44199999999999995,True,False
session_breakout_us_afternoon_fixed_6pct,0,100.0,0.0,,,,,0.0,0,,,0.0,0.0,0.0,1.0,804,0.13,0.85,0.85,0.05,0.17,0.05,0.43400000000000005,True,False
session_breakout_us_afternoon_fixed_8pct,0,100.0,0.0,,,,,0.0,0,,,0.0,0.0,0.0,1.0,804,0.13,0.85,0.85,0.05,0.17,0.05,0.43400000000000005,True,False
session_breakout_us_afternoon_fixed_10pct,0,100.0,0.0,,,,,0.0,0,,,0.0,0.0,0.0,1.0,804,0.13,0.85,0.85,0.05,0.17,0.05,0.43400000000000005,True,False
session_breakout_us_afternoon_fixed_12pct,0,100.0,0.0,,,,,0.0,0,,,0.0,0.0,0.0,1.0,804,0.13,0.85,0.85,0.05,0.17,0.05,0.43400000000000005,True,False
session_breakout_london_fixed_8pct,5,98.73130817910986,-0.012686918208901443,-0.021206125642745398,0.12500000000000003,0.8,0.847878094869172,0.08088888888888889,1,4.0,0.08,-0.07169777777777775,0.0,0.1044776119402985,0.9402985074626866,804,0.06,0.64,0.6,0.21,0.38,0.57,0.424,True,False
session_milddrop_us_open_fixed_6pct,3,100.62805937499999,0.0062805937499998965,0.05312499999999994,0.375,0.6666666666666666,1.1030661538461537,0.0609375,1,2.0,0.06,-0.06093749999999998,0.0,0.05970149253731343,0.9788557213930348,804,0.2,0.66,0.64,0.13,0.5,0.13,0.41100000000000003,True,False
gate_milddrop_fixed_12pct,49,131.34732047335464,0.31347320473354645,0.0747643257026615,0.37500000000000006,0.7346938775510204,1.2295369218446335,0.47359110444379404,3,2.0,0.12,-0.3876780645351955,0.03927100785353255,0.6305970149253731,0.7114427860696517,804,0.76,0.02,0.02,0.97,0.58,0.29,0.404,False,False
gate_milddrop_fixed_8pct,49,124.5872071693618,0.24587207169361802,0.0747643257026615,0.37500000000000006,0.7346938775510204,1.2540905095442896,0.3385601985590653,3,2.0,0.08,-0.27336859211192455,0.029121130837091114,0.6305970149253731,0.7114427860696517,804,0.58,0.06,0.06,0.97,0.62,0.29,0.399,False,False
gate_milddrop_fixed_10pct,49,128.55436835130382,0.28554368351303827,0.0747643257026615,0.37500000000000006,0.7346938775510204,1.243005607498745,0.4087879915245484,3,2.0,0.09999999999999999,-0.3322813466733989,0.034588141577825304,0.6305970149253731,0.7114427860696517,804,0.64,0.04,0.04,0.97,0.6,0.29,0.397,False,False
session_breakout_london_fixed_10pct,5,98.2776781086519,-0.017223218913480998,-0.021206125642745356,0.125,0.8,0.8360318077543706,0.10111111111111115,1,4.0,0.1,-0.08987500000000004,0.0,0.1044776119402985,0.9402985074626866,804,0.04,0.56,0.52,0.21,0.36,0.57,0.383,True,False
session_milddrop_us_open_fixed_8pct,3,100.68764999999999,0.006876499999999952,0.05312499999999996,0.37500000000000006,0.6666666666666666,1.084633846153846,0.08125,1,2.0,0.08,-0.08125000000000004,0.0,0.05970149253731343,0.9788557213930348,804,0.24,0.6,0.56,0.13,0.46,0.13,0.38100000000000006,True,False
session_milddrop_asia_fixed_6pct,13,103.64525130647175,0.03645251306471753,0.0631675042240334,0.4558823529411764,0.6923076923076923,1.1462291916508782,0.17303875418605127,2,2.0,0.06000000000000002,-0.11837875457875457,0.0,0.18159203980099503,0.8519900497512438,804,0.32,0.32,0.4,0.37,0.56,0.21,0.36300000000000004,True,False
session_milddrop_us_open_fixed_10pct,3,100.669921875,0.006699218749999902,0.05312499999999996,0.37500000000000006,0.6666666666666666,1.0659615384615382,0.1015625,1,2.0,0.10000000000000002,-0.1015625,0.0,0.05970149253731343,0.9788557213930348,804,0.22,0.54,0.48,0.13,0.44,0.13,0.34400000000000003,True,False
session_breakout_london_fixed_12pct,5,97.76699449431737,-0.02233005505682628,-0.021206125642745387,0.125,0.8,0.8241717610873122,0.12133333333333339,1,4.0,0.12,-0.10815333333333332,0.0,0.1044776119402985,0.9402985074626866,804,0.02,0.48,0.44,0.21,0.34,0.57,0.342,True,False
session_milddrop_asia_fixed_8pct,13,104.25286737524844,0.04252867375248437,0.06316750422403337,0.4558823529411763,0.6923076923076923,1.1273066540386865,0.22694671123717114,2,2.0,0.07999999999999999,-0.15618168498168505,0.0,0.18159203980099503,0.8519900497512438,804,0.36,0.26,0.28,0.37,0.54,0.21,0.325,True,False
session_milddrop_asia_fixed_10pct,13,104.53699792696494,0.04536997926964936,0.06316750422403342,0.45588235294117635,0.6923076923076923,1.1081974108251258,0.27890518521753976,2,2.0,0.10000000000000002,-0.19315628815628816,0.0,0.18159203980099503,0.8519900497512438,804,0.4,0.14,0.22,0.37,0.52,0.21,0.29,True,False
session_milddrop_us_open_fixed_12pct,3,100.57341249999999,0.005734124999999812,0.05312499999999996,0.37500000000000006,0.6666666666666666,1.0470492307692305,0.121875,1,2.0,0.12,-0.12187499999999996,0.0,0.05970149253731343,0.9788557213930348,804,0.18,0.46,0.34,0.13,0.42,0.13,0.28500000000000003,True,False
session_milddrop_asia_fixed_12pct,13,104.48891280626614,0.04488912806266132,0.06316750422403339,0.45588235294117635,0.6923076923076923,1.0889161475329718,0.32888541040020225,2,2.0,0.12000000000000004,-0.2293025641025641,0.0,0.18159203980099503,0.8519900497512438,804,0.38,0.08,0.12,0.37,0.48,0.21,0.24599999999999997,False,False
