strategy_name,side,move_low,move_high,prob_low,prob_high,trades,avg_btc_move_2m,avg_entry_prob,win_rate,avg_pnl,cum_pnl
"buy_down|move(-30,-10]|prob[0.0,1.0]",buy_down,-30,-10,0.0,1.0,26,-20.692692307691548,0.34865384615384615,0.8461538461538461,0.18480769230769226,4.804999999999999
"buy_down|move(-30,-10]|prob[0.2,0.4]",buy_down,-30,-10,0.2,0.4,18,-22.28333333333204,0.30888888888888894,0.8888888888888888,0.18777777777777774,3.3799999999999994
"buy_down|move(-50,-30]|prob[0.0,1.0]",buy_down,-50,-30,0.0,1.0,28,-39.23178571428538,0.24267857142857144,0.8214285714285714,0.05410714285714285,1.5149999999999997
"buy_up|move(30,50]|prob[0.0,1.0]",buy_up,30,50,0.0,1.0,25,39.810799999998416,0.7402000000000001,0.8,0.04979999999999998,1.2449999999999997
"buy_down|move(-100,-50]|prob[0.0,0.2]",buy_down,-100,-50,0.0,0.2,18,-74.02166666666663,0.1297222222222222,0.9444444444444444,0.06416666666666666,1.155
"buy_down|move(-100,-50]|prob[0.0,1.0]",buy_down,-100,-50,0.0,1.0,21,-73.31714285714233,0.14714285714285713,0.9047619047619048,0.041904761904761896,0.8799999999999998
"buy_up|move(10,30]|prob[0.4,0.6]",buy_up,10,30,0.4,0.6,9,19.917777777777196,0.5733333333333334,0.6666666666666666,0.08333333333333336,0.7500000000000002
"buy_up|move(-10,10]|prob[0.4,0.6]",buy_up,-10,10,0.4,0.6,39,0.990256410256664,0.5101282051282052,0.5384615384615384,0.018333333333333337,0.7150000000000001
"buy_up|move(30,50]|prob[0.6,0.8]",buy_up,30,50,0.6,0.8,18,39.10277777777568,0.7283333333333334,0.7777777777777778,0.03944444444444442,0.7099999999999996
"buy_up|move(30,50]|prob[0.8,1.0]",buy_up,30,50,0.8,1.0,5,45.54199999999837,0.85,1.0,0.14,0.7000000000000001
"buy_down|move(-50,-30]|prob[0.2,0.4]",buy_down,-50,-30,0.2,0.4,18,-37.87722222222187,0.27,0.7777777777777778,0.03777777777777774,0.6799999999999993
"buy_down|move(-30,-10]|prob[0.4,0.6]",buy_down,-30,-10,0.4,0.6,6,-17.641666666665213,0.44916666666666666,0.6666666666666666,0.10583333333333335,0.6350000000000001
"buy_up|move(-10,10]|prob[0.0,1.0]",buy_up,-10,10,0.0,1.0,57,0.09614035087661091,0.5052631578947369,0.5263157894736842,0.011052631578947375,0.6300000000000003
"buy_down|move(50,100]|prob[0.0,1.0]",buy_down,50,100,0.0,1.0,20,70.6435000000005,0.8364999999999998,0.2,0.026499999999999985,0.5299999999999997
"buy_down|move(50,100]|prob[0.8,1.0]",buy_down,50,100,0.8,1.0,17,70.93882352941215,0.8579411764705882,0.17647058823529413,0.024411764705882334,0.4149999999999997
"buy_down|move(-50,-30]|prob[0.0,0.2]",buy_down,-50,-30,0.0,0.2,9,-42.759999999999614,0.1611111111111111,0.8888888888888888,0.04000000000000002,0.3600000000000002
"buy_up|move(-10,10]|prob[0.2,0.4]",buy_up,-10,10,0.2,0.4,10,-5.666000000001804,0.3605,0.4,0.02949999999999999,0.29499999999999993
"buy_down|move(-10,10]|prob[0.6,0.8]",buy_down,-10,10,0.6,0.8,8,2.9399999999968713,0.6625000000000001,0.375,0.027499999999999983,0.21999999999999986
"buy_down|move(10,30]|prob[0.6,0.8]",buy_down,10,30,0.6,0.8,35,18.657714285712323,0.6677142857142857,0.34285714285714286,0.0005714285714285625,0.019999999999999685
"buy_down|move(10,30]|prob[0.0,1.0]",buy_down,10,30,0.0,1.0,47,19.18425531914746,0.6615957446808511,0.3404255319148936,-0.00797872340425533,-0.37500000000000056
"buy_up|move(-10,10]|prob[0.6,0.8]",buy_up,-10,10,0.6,0.8,8,2.9399999999968713,0.6625000000000001,0.625,-0.0475,-0.38
"buy_down|move(-10,10]|prob[0.2,0.4]",buy_down,-10,10,0.2,0.4,10,-5.666000000001804,0.3605,0.6,-0.04950000000000001,-0.4950000000000001
"buy_up|move(-50,-30]|prob[0.0,0.2]",buy_up,-50,-30,0.0,0.2,9,-42.759999999999614,0.1611111111111111,0.1111111111111111,-0.060000000000000026,-0.5400000000000003
"buy_up|move(10,30]|prob[0.0,1.0]",buy_up,10,30,0.0,1.0,47,19.18425531914746,0.6615957446808511,0.6595744680851063,-0.012021276595744689,-0.5650000000000004
"buy_up|move(10,30]|prob[0.6,0.8]",buy_up,10,30,0.6,0.8,35,18.657714285712323,0.6677142857142857,0.6571428571428571,-0.020571428571428584,-0.7200000000000004
"buy_up|move(50,100]|prob[0.8,1.0]",buy_up,50,100,0.8,1.0,17,70.93882352941215,0.8579411764705882,0.8235294117647058,-0.04441176470588235,-0.755
"buy_up|move(-30,-10]|prob[0.4,0.6]",buy_up,-30,-10,0.4,0.6,6,-17.641666666665213,0.44916666666666666,0.3333333333333333,-0.12583333333333335,-0.7550000000000001
"buy_down|move(30,50]|prob[0.8,1.0]",buy_down,30,50,0.8,1.0,5,45.54199999999837,0.85,0.0,-0.16000000000000003,-0.8000000000000002
"buy_up|move(50,100]|prob[0.0,1.0]",buy_up,50,100,0.0,1.0,20,70.6435000000005,0.8364999999999998,0.8,-0.0465,-0.93
"buy_down|move(10,30]|prob[0.4,0.6]",buy_down,10,30,0.4,0.6,9,19.917777777777196,0.5733333333333334,0.3333333333333333,-0.10333333333333337,-0.9300000000000004
"buy_up|move(-50,-30]|prob[0.2,0.4]",buy_up,-50,-30,0.2,0.4,18,-37.87722222222187,0.27,0.2222222222222222,-0.05777777777777778,-1.04
"buy_down|move(30,50]|prob[0.6,0.8]",buy_down,30,50,0.6,0.8,18,39.10277777777568,0.7283333333333334,0.2222222222222222,-0.059444444444444446,-1.07
"buy_up|move(-100,-50]|prob[0.0,1.0]",buy_up,-100,-50,0.0,1.0,21,-73.31714285714233,0.14714285714285713,0.09523809523809523,-0.06190476190476189,-1.2999999999999998
"buy_down|move(-10,10]|prob[0.4,0.6]",buy_down,-10,10,0.4,0.6,39,0.990256410256664,0.5101282051282052,0.46153846153846156,-0.038333333333333344,-1.4950000000000006
"buy_up|move(-100,-50]|prob[0.0,0.2]",buy_up,-100,-50,0.0,0.2,18,-74.02166666666663,0.1297222222222222,0.05555555555555555,-0.08416666666666667,-1.5150000000000001
"buy_down|move(30,50]|prob[0.0,1.0]",buy_down,30,50,0.0,1.0,25,39.810799999998416,0.7402000000000001,0.2,-0.0698,-1.745
"buy_down|move(-10,10]|prob[0.0,1.0]",buy_down,-10,10,0.0,1.0,57,0.09614035087661091,0.5052631578947369,0.47368421052631576,-0.031052631578947387,-1.7700000000000011
"buy_up|move(-50,-30]|prob[0.0,1.0]",buy_up,-50,-30,0.0,1.0,28,-39.23178571428538,0.24267857142857144,0.17857142857142858,-0.07410714285714286,-2.075
"buy_up|move(-30,-10]|prob[0.2,0.4]",buy_up,-30,-10,0.2,0.4,18,-22.28333333333204,0.30888888888888894,0.1111111111111111,-0.20777777777777778,-3.74
"buy_up|move(-30,-10]|prob[0.0,1.0]",buy_up,-30,-10,0.0,1.0,26,-20.692692307691548,0.34865384615384615,0.15384615384615385,-0.2048076923076923,-5.325
